date,actual_return,dir_prob,clf_signal_basic,clf_signal_atr,atr_active,strategy_return_basic,strategy_return_atr,cum_basic,cum_atr,cum_hold
2024-01-01,-0.0011173031398486696,0.498109370470047,-1.0,0.0,1.0,0.0011173031398486696,-0.0,0.001117303139848591,0.0,-0.0011173031398487021
2024-01-02,-0.0015466483428338857,0.4953615963459015,-1.0,0.0,1.0,0.0015466483428338857,-0.0,0.0026656795577322256,0.0,-0.002662223407632891
2024-01-03,-0.008825030908954975,0.49202343821525574,-1.0,-1.0,1.0,0.008825030908954975,0.008825030908954975,0.011514235171177667,0.008825030908955034,-0.011463760112728871
2024-01-04,-0.0012793338874625213,0.48800575733184814,-1.0,-1.0,1.0,0.0012793338874625213,0.0012793338874625213,0.012808299609883056,0.010115654957517428,-0.01272842802340135
2024-01-05,0.0017937674187858852,0.48466137051582336,-1.0,-1.0,1.0,-0.0017937674187858852,-0.0017937674187858852,0.010991557080566983,0.008303742406449155,-0.010957492444096273
2024-01-08,-0.0004706370138586311,0.48418915271759033,-1.0,-1.0,1.0,0.0004706370138586311,0.0004706370138586311,0.01146736712802765,0.008778287468837798,-0.011422972456431646
2024-01-09,0.0008647516893451855,0.48703086376190186,-1.0,0.0,0.0,-0.0008647516893451855,0.0,0.01059269901358606,0.008778287468837798,-0.010568098801815529
2024-01-10,-0.0017616554045898074,0.4917789399623871,-1.0,0.0,0.0,0.0017616554045898074,-0.0,0.012373015103642304,0.008778287468837798,-0.012311136858034866
2024-01-11,0.0038995772423958907,0.4960673451423645,-1.0,0.0,0.0,-0.0038995772423958907,0.0,0.008425188333128553,0.008778287468837798,-0.008459567844758542
2024-01-12,0.0005927674404056253,0.49723246693611145,-1.0,0.0,0.0,-0.0005927674404056253,0.0,0.00782742671539971,0.008778287468837798,-0.007871814960731194
2024-01-15,-0.003278136931587735,0.49419596791267395,-1.0,0.0,0.0,0.003278136931587735,-0.0,0.011131223023582493,0.008778287468837798,-0.011124147004977547
2024-01-16,0.0,0.4927283227443695,-1.0,0.0,0.0,-0.0,0.0,0.011131223023582493,0.008778287468837798,-0.011124147004977547
2024-01-17,-0.006132515484610603,0.4958217442035675,-1.0,0.0,0.0,0.006132515484610603,-0.0,0.017332000905747824,0.008778287468837798,-0.017188443485827043
2024-01-18,0.0006419301064366271,0.4892987310886383,-1.0,0.0,0.0,-0.0006419301064366271,0.0,0.01667894486612509,0.008778287468837798,-0.016557547158746688
2024-01-19,-0.0006093855084178445,0.48437467217445374,-1.0,0.0,0.0,0.0006093855084178445,-0.0,0.01729849428184016,0.008778287468837798,-0.017156842737870992
2024-01-22,0.001208331125892878,0.4844137132167816,-1.0,0.0,0.0,-0.001208331125892878,0.0,0.016069260846875322,0.008778287468837798,-0.015969242759080404
2024-01-23,-0.0011103749904406092,0.48727789521217346,-1.0,0.0,0.0,0.0011103749904406092,-0.0,0.017197478742675187,0.008778287468837798,-0.017061885901745066
2024-01-24,-0.002054265784688464,0.4978039562702179,-1.0,0.0,0.0,0.002054265784688464,-0.0,0.019287072719527565,0.008778287468837798,-0.019081102038003284
2024-01-25,0.002195704525871863,0.5108029246330261,1.0,0.0,0.0,0.002195704525871863,0.0,0.021525125958260505,0.008778287468837798,-0.01692729397423498
2024-01-26,-0.0031940891678824117,0.516024112701416,1.0,0.0,0.0,-0.0031940891678824117,-0.0,0.0182622836187174,0.008778287468837798,-0.0200673158557928
2024-01-29,-0.00032535760494948154,0.5173326730728149,1.0,0.0,0.0,-0.00032535760494948154,-0.0,0.017930984240908776,0.008778287468837798,-0.02038614440691766
2024-01-30,-0.0008346524768681695,0.5157655477523804,1.0,0.0,0.0,-0.0008346524768681695,-0.0,0.017081365623631273,0.008778287468837798,-0.021203781537862842
2024-01-31,0.0008237687543271816,0.5145865082740784,1.0,0.0,0.0,0.0008237687543271816,0.0,0.01791920547324044,0.008778287468837798,-0.02039747979624018
2024-02-01,-0.003647544052697876,0.5141770839691162,1.0,0.0,0.0,-0.003647544052697876,-0.0,0.01420630032918968,0.008778287468837798,-0.023970623142817282
2024-02-02,0.006525183225310071,0.5107908844947815,1.0,0.0,0.0,0.006525183225310071,0.0,0.020824182267101587,0.008778287468837798,-0.017601852625538927
2024-02-05,-0.008737607110913186,0.511430561542511,1.0,1.0,1.0,-0.008737607110913186,-0.008737607110913186,0.01190462163313244,-3.6020869084718576e-05,-0.026185661663785997
2024-02-06,-0.0035510454839929734,0.5154902338981628,1.0,0.0,0.0,-0.0035510454839929734,-0.0,0.008311302296250433,-3.6020869084718576e-05,-0.02964372067218246
2024-02-07,0.0014296890422369148,0.5181792378425598,1.0,1.0,1.0,0.0014296890422369148,0.0014296890422369148,0.009752873916307081,0.001393616674510323,-0.028256412932561648
